Дата запуска;Заказ-Партия;Заказчик;Спецификация;Номенклатура;Дефицит
2020-05-09;02648-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Гайка М20-6h.8.ТД4 ГОСТ ISO 4032-2014;16.1884655
2020-05-09;02648-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Хомут по чертежу Х-1 М20.09Г2С-15.ТД4 Чертёж: ДК10-Х-1.01;59.84
2020-05-09;02648-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Шпилька по чертежу Ш-1 М24х350.40Х.ТД4 ДК10-Ш-1.02;13.64
2020-05-09;02648-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Штырь Ш-20-2-55 ГОСТ 18381-80;11.0
2020-05-10;02691-1;НОВА ООО;11/02-19 от 07.02.2019, Спецификация №11 от 08.04.2020;Гайка М36-6h.8.Гл ГОСТ ISO 4032-2014;13.73532441
2020-05-10;02691-1;НОВА ООО;11/02-19 от 07.02.2019, Спецификация №11 от 08.04.2020;Гайка М30-6h.8.Гл ГОСТ ISO 4032-2014;11.98970134
2020-05-10;921387-2;ГАС ООО;Договор поставки №331-ГАС-17 от 13.06.2017, Спецификация №6 от 21.11.2019;Болт М30-6gх100.8.8.Гл ГОСТ 7798-70;1.907847580000002
2020-05-10;921387-2;ГАС ООО;Договор поставки №331-ГАС-17 от 13.06.2017, Спецификация №6 от 21.11.2019;Гайка М30-6h.8.Гл ГОСТ ISO 4032-2014;59.94850669
2020-05-10;921387-2;ГАС ООО;Договор поставки №331-ГАС-17 от 13.06.2017, Спецификация №6 от 21.11.2019;Гайка М20-6h.8.Гл ГОСТ ISO 4032-2014;8.214376929999958
2020-05-10;02691-1;НОВА ООО;11/02-19 от 07.02.2019, Спецификация №11 от 08.04.2020;Болт М36-6gх130.8.8.Гл ГОСТ Р ИСО 4014-2013;23.376
2020-05-10;921387-2;ГАС ООО;Договор поставки №331-ГАС-17 от 13.06.2017, Спецификация №6 от 21.11.2019;Болт М14-6gх45.8.8.Гл ГОСТ 7798-70;0.26816326999999873
2020-05-10;02691-1;НОВА ООО;11/02-19 от 07.02.2019, Спецификация №11 от 08.04.2020;Болт М30-6gх110.8.8.Гл ГОСТ Р ИСО 4014-2013;10.5561277
2020-05-10;02691-1;НОВА ООО;11/02-19 от 07.02.2019, Спецификация №11 от 08.04.2020;Болт М30-6gх100.8.8.Гл ГОСТ Р ИСО 4014-2013;9.86817714
2020-05-11;02649-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Штырь Ш-20-2-55 ГОСТ 18381-80;30.0
2020-05-11;02649-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Хомут по чертежу Х-1 М20.09Г2С-15.ТД4 Чертёж: ДК10-Х-1.01;16.32
2020-05-11;02649-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Гайка М20-6h.8.ТД4 ГОСТ ISO 4032-2014;4.41503605
